АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ
ПИРЕТРУМ ЦИНЕРАРИЕЛИСТНЫЙ
ПЛАУН БУЛАВОВИДНЫЙ
ПОДОРОЖНИК БЛОШНЫЙ
ПОДОРОЖНИК БОЛЬШОЙ
ПОДОФИЛЛ ЩИТОВИДНЫЙ
ПОЛЫНЬ ГОРЬКАЯ
ПОЛЫНЬ ОБЫКНОВЕННАЯ
ПРУТНЯК ОБЫКНОВЕННЫЙ
ПУСТЫРНИК СЕРДЕЧНЫЙ
РАПОНТИКУМ САФЛОРОВИДНЫЙ
РАСТОРОПША ПЯТНИСТАЯ
РЕВЕНЬ ПАЛЬЧАТЫЙ ТАНГУТСКИЙ
РЕПЕШОК ВОЛОСИСТЫЙ
РЕПЕШОК ОБЫКНОВЕННЫЙ
РОДИОЛА РОЗОВАЯ
РОМАШКА АПТЕЧНАЯ
РОМАШКА БЕЗЪЯЗЫЧКОВАЯ
РЯБИНА ОБЫКНОВЕННАЯ
САБЕЛЬНИК БОЛОТНЫЙ
СВОБОДНОЯГОДНИК КОЛЮЧИЙ
СЕКУРИНЕГА ПОЛУКУСТАРНИКОВАЯ
СЕРПУХА ВЕНЦЕНОСНАЯ
СИНЮХА ГОЛУБАЯ
СКОПОЛИЯ КАРНИОЛИЙСКАЯ
СКУМПИЯ КОЖЕВЕННАЯ
СМОКОВНИЦА ОБЫКНОВЕННАЯ
СМОРОДИНА ЧЕРНАЯ
СОЛОДКА ГОЛАЯ
СОФОРА ЯПОНСКАЯ
СПОРЫНЬЯ ПУРПУРОВАЯ
СТАЛЬНИК КОЛЮЧИЙ
СУМАХ ДУБИЛЬНЫЙ
СУШЕНИЦА ТОПЯНАЯ
ТЕРМОПСИС ЛАНЦЕТОВИДНЫЙ
ТИМЬЯН ОБЫКНОВЕННЫЙ
ТИМЬЯН ПОЛЗУЧИЙ
ТМИН ОБЫКНОВЕННЫЙ
ТОЛОКНЯНКА ОБЫКНОВЕННАЯ
ТЫКВА ОБЫКНОВЕННАЯ
ТЫСЯЧЕЛИСТНИК ОБЫКНОВЕННЫЙ
УКРОП ПАХУЧИЙ
ФАСОЛЬ ОБЫКНОВЕННАЯ
ФЕНХЕЛЬ ОБЫКНОВЕННЫЙ
ФЕРУЛА ВОНЮЧАЯ
ФИАЛКА ТРЁХЦВЕТНАЯ
ХВОЩ ПОЛЕВОЙ
ХМЕЛЬ ОБЫКНОВЕННЫЙ
ЦЕТРАРИЯ ИСЛАНДСКАЯ
ЦИКОРИЙ ОБЫКНОВЕННЫЙ
ЧАГА (берёзовый гриб, трутовик скошенный)
ЧЕМЕРИЦА ЛОБЕЛЯ
ЧЕРЁМУХА ОБЫКНОВЕННАЯ
ЧЕРНИКА ОБЫКНОВЕННАЯ
ЧЕРНУШКА ДАМАССКАЯ
ЧИСТОТЕЛ БОЛЬШОЙ
ШАЛФЕЙ ЛЕКАРСТВЕННЫЙ
ШИПОВНИК МАЙСКИЙ
ШЛЕМНИК БАЙКАЛЬСКИЙ
ЩАВЕЛЬ КОНСКИЙ
ЩИТОВНИК МУЖСКОЙ
ЭВКАЛИПТ ПРУТОВИДНЫЙ
ЭВКОММИЯ ВЯЗОЛИСТНАЯ
ЭРВА ШЕРСТИСТАЯ
ЭФЕДРА ХВОЩЕВАЯ
ЭХИНАЦЕЯ ПУРПУРНАЯ
ЯКОРЦЫ СТЕЛЮЩИЕСЯ
